"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"001402012";"00088000838201222";"Objeto: Pregão Eletrônico -  Contratação de empresa para fornecimento de hortifrutigranjeiros, sob demanda.";"Pregão";"Evento de Resultado de Julgame";"20000";"PRESIDENCIA DA REPUBLICA";"20101";"PRESIDENCIA DA REPUBLICA";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"BRASILIA";"04/01/2013";"17/01/2013";"64798,96"
"000012013";"001/2013";"Objeto: Serviço de publicação de matérias de licitação";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160109";"4ª COMPANHIA DE COMUNICAçõES LEVE";"BELO HORIZONTE";"01/01/1900";"";"1080,00"
"001912013";"192/2013";"Objeto: Publicação em Imprenssa Nacional.";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160224";"PARQUE REGIONAL DE MANUTENCAO/5";"CURITIBA";"01/01/1900";"";"851,00"
"000222013";"00467003048201234";"Objeto: Trata-se da contratação de empresa para fornecimento, sob demanda, de açúcar, café e chá visando atender às unidades da Advocacia Geral da União localizadas na cidade de Palmas, Estado do Tocantins, no decorrer do exercício de 2013.";"Dispensa de Licitação";"Encerrado";"63000";"ADVOCACIA-GERAL DA UNIAO";"63000";"ADVOCACIA-GERAL DA UNIAO - UNIDADES COM VÍNCU";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"BRASILIA";"01/01/1900";"";"2963,40"
"000322013";"23116000610201334";"Objeto: Serviço de manutenção e despesas com peças e serviços referente às revisões de garantia dos veículos Mercedes Benz pertencentes à frota desta IFES.";"Dispensa de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26273";"UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"154042";"UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"RIO GRANDE";"01/01/1900";"";"2000,00"
"001172012";"23077055093201263";"Objeto: Pregão Eletrônico -  Fornecimento, montagem e instalação de sistema de ar condicionado central, tipo vrf ('variable refrigerant flow')";"Pregão";"Evento de Alteração de Resulta";"26000";"MINISTERIO DA EDUCACAO";"26243";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"153103";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"NATAL";"08/01/2013";"22/01/2013";"2370000,00"
"000062013";"578";"Objeto: Detergente Extran alcalino e desinfetante de amplo espectro Vikron";"Dispensa de Licitação";"Encerrado";"40000";"MINISTERIO DO TRABALHO";"37201";"FUND.JORGE D.FIGUEIREDO DE SEG.E MED DO TRAB.";"264001";"FUNDACENTRO - FUND.JORGE DUPRAT/CTN/SEDE - SP";"SAO PAULO";"01/01/1900";"21/01/2013";"1590,00"
"000032013";"23219000013201351";"Objeto: Prestação de serviço para atender despesas com publicações de atos no Diário Oficial da União, no exercício de 2013.";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26407";"INST.FED.DE EDUC.,CIENC.E TEC.GOIANO";"158298";"IF GOIANO - CAMPUS URUTAI";"URUTAI";"10/01/2013";"";"30000,00"
"000272012";"64/2012";"Objeto: Pregão Eletrônico -  Contratação de empresa para prestação de serviço de Telefonia Fixa Comutada (STFC) e Serviço de Comunicação Multimídia (SCM) para o Comando da 4ª Região Militar, situado em Belo Horizonte-MG.";"Pregão";"Evento de Revogação Publicado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160118";"COMANDO DA 4ª REGIÃO MILITAR";"BELO HORIZONTE";"23/01/2013";"04/02/2013";"0,00"
"000092013";"08659026773201235";"Objeto: Conserto do veículo oficial sinistrado GM/BLAZER de placas AQC-1757/PR, com fornecimento de peças.";"Dispensa de Licitação";"Encerrado";"30000";"MINISTERIO DA JUSTICA E SEGURANçA PUBLICA";"30802";"DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL/MJ";"200118";"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-PR";"CURITIBA";"01/01/1900";"";"1400,96"
