Número Licitação	Número Processo	Objeto	Modalidade Compra	Situação Licitação	Código Órgão Superior	Nome Órgão Superior	Código Órgão	Nome Órgão	Código UG	Nome UG	Município	Data PublicaçãoDOU	Data Abertura	Valor Licitação
412018	23108918899/17-72	Objeto: Empenho estimativo destinado para publicação de matérias legais.	Inexigibilidade de Licitação	Publicado	26000	MINISTERIO DA EDUCACAO	26276	FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO	154070	HOSPITAL UNIVERSITARIO JULIO MULLER DA FUFMT	CUIABA	19/01/2018		50000
7942017	63230.001917/2017	Objeto: Manutenção preventiva nos equipamentos Espectrômetro de Fluorescência EDX-800HS e Infravermelho FTIR-8400, marca Shimadzu.	Inexigibilidade de Licitação	Encerrado	52000	MINISTERIO DA DEFESA	52131	COMANDO DA MARINHA	742000	CENTRO TECNOLOGICO DA MARINHA EM SAO PAULO	SAO PAULO	01/01/1900		5620
22018	2,35200157332017E+016	Objeto: Contratação dos serviços de estofamento para a manutenção de cadeiras, poltronas e longarinas.	Dispensa de Licitação	Encerrado	26000	MINISTERIO DA EDUCACAO	26447	UNIVERSIDADE FEDERAL DO OESTE DA BAHIA	158717	UNIVERSIDADE FEDERAL DO OESTE DA BAHIA	BARREIRAS	01/01/1900		7999
152018	214923/2017-25	Objeto: Pregão Eletrônico -  Aquisição de peça de reposição - módulo de motor para gerador, para atender à necessidade da Unidade de Infraestrutura e Manutenção do Setor Palotina da Universidade Federal do Paraná.	Pregão	Evento de Resultado de Julgame	26000	MINISTERIO DA EDUCACAO	26241	UNIVERSIDADE FEDERAL DO PARANA	153079	UNIVERSIDADE FEDERAL DO PARANA	CURITIBA	25/01/2018	07/02/2018	10900
42018	2,50671000082019E+016	Objeto: Serviço especializado em montagem de infraestrutura física de rede cabeada, Configuração e implementação da rede provisória do prédio do CDHS, conforme Projeto Básico.	Dispensa de Licitação	Encerrado	36000	MINISTERIO DA SAUDE	36201	FUNDACAO OSWALDO CRUZ	254488	CASA DE OSWALDO CRUZ	RIO DE JANEIRO	01/01/1900		4800
22018	2,51800026162017E+016	Objeto: Pregão Eletrônico -  Contratação de empresa para prestação de serviços continuados de plotagem (impressão/cópia e digitalização) para atender a SUEST/MT.	Pregão	Evento de Resultado de Julgame	36000	MINISTERIO DA SAUDE	36211	FUNDACAO NACIONAL DE SAUDE	255011	FUNDACAO NACIONAL DE SAUDE - MT	CUIABA	08/01/2018	24/01/2018	30145
12018	8,0729000089342E+016	Objeto: Serviço de publicação de matéria junto à Imprensa Nacional.	Inexigibilidade de Licitação	Encerrado	52000	MINISTERIO DA DEFESA	52121	COMANDO DO EXERCITO	160274	25 BATALHAO LOGISTICO (ES)	RIO DE JANEIRO	01/01/1900		6074
1762017	2,30890202922017E+016	Objeto: Pregão Eletrônico -  Contratação de empresa especializada em ministrar curso e treinamento na formação de brigada de incêndio.	Pregão - Registro de Preço	Publicado	26000	MINISTERIO DA EDUCACAO	26262	UNIVERSIDADE FEDERAL DE SAO PAULO	153031	UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO	SAO PAULO	16/01/2018	30/01/2018	9839
302018	201308/2017-59	Objeto: Pregão Eletrônico -  Aquisição parcelada, conforme necessidade, de materiais de consumo de uso comum para o Almoxarifado Central da Universidade Federal do Paraná.	Pregão - Registro de Preço	Evento de Resultado de Julgame	26000	MINISTERIO DA EDUCACAO	26241	UNIVERSIDADE FEDERAL DO PARANA	153079	UNIVERSIDADE FEDERAL DO PARANA	CURITIBA	26/01/2018	07/02/2018	46271
3022018	2975/2018-00	Objeto: Serviços de locação de andaimes	Dispensa de Licitação	Encerrado	26000	MINISTERIO DA EDUCACAO	26245	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	153149	INSTITUTO DE PSIQUIATRIA DA UFRJ	RIO DE JANEIRO	01/01/1900		7870
22018	2,32700003332019E+016	Objeto: Contratação de serviços de manutenção dos elevadores da Reitoria do IFRJ.	Dispensa de Licitação	Encerrado	26000	MINISTERIO DA EDUCACAO	26433	INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO	158157	INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO	RIO DE JANEIRO	01/01/1900		3690
102018	2,30800798762018E+016	Objeto: Pregão Eletrônico -  Registro de Preços para fins de aquisição de MATÉRIAS-PRIMAS E EMBALAGENS, para uso na Farmácia Industrial do Hospital Universitário da UFSC.	Pregão - Registro de Preço	Evento de Resultado de Julgame	26000	MINISTERIO DA EDUCACAO	26246	UNIVERSIDADE FEDERAL DE SANTA CATARINA	150232	HOSPITAL UNIVERSITáRIO - UFSC	FLORIANOPOLIS	22/01/2018	19/02/2018	2120
142017	6,44940105402017E+016	Objeto: Pregão Eletrônico -  Registro de preços para futura e eventual contratação de empresa para confecção e entrega de refeição tipo almoço para atender os alunos dos ensinos fundamental e médio do Colégio Militar de Salvador.	Pregão - Registro de Preço	Evento de Resultado de Julgame	52000	MINISTERIO DA DEFESA	52121	COMANDO DO EXERCITO	160525	ESCOLA DE FORMACÃO COMPLEMENTAR DO EXERCITO	SALVADOR	23/01/2018	02/02/2018	292223
172018	23537.000030/2018	Objeto: Aquisição de envelope amarelo e/ou pardo s/impressão tipo saco.	Dispensa de Licitação	Encerrado	26000	MINISTERIO DA EDUCACAO	26443	EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES	155021	EBSERH HU-UFMG	BELO HORIZONTE	01/01/1900		3000
72018	2,30720035662019E+016	Objeto: Rejunte epóxi bi componente em embalagem de 1 ou 1,5 quilos, na cor preta	Dispensa de Licitação	Encerrado	26000	MINISTERIO DA EDUCACAO	26238	UNIVERSIDADE FEDERAL DE MINAS GERAIS	153289	FACULDADE DE MEDICINA/UFMG	BELO HORIZONTE	01/01/1900		1750
5122017	2,30800583492017E+016	Objeto: Pregão Eletrônico -  Registro de Preços para a eventual contratação de empresa prestadora de serviços de manutenção de áreas verdes (roçagem, capina e limpeza), incluindo emprego de ferramentas, insumos e equipamentos, para o Campus Araranguá da Universidade Federal de Santa Catarina - UFSC.	Pregão - Registro de Preço	Evento de Resultado de Julgame	26000	MINISTERIO DA EDUCACAO	26246	UNIVERSIDADE FEDERAL DE SANTA CATARINA	153163	UNIVERSIDADE FEDERAL DE SANTA CATARINA	FLORIANOPOLIS	05/01/2018	19/01/2018	334841
42017	6,46850089142017E+016	Objeto: Credenciamento e contratação para prestação de serviços de coleta, transporte e distribuição de água potável, no ano de 2017 e 2018 (Período: 01 Nov 17 a 31 Dez 18).	Inexigibilidade de Licitação	Publicado	52000	MINISTERIO DA DEFESA	52121	COMANDO DO EXERCITO	160172	16 REGIMENTO DE CAVALARIA MECANIZADO	BAYEUX	09/02/2018		30753000
52018	2,31070201662017E+016	Objeto: Pregão Eletrônico -  Aquisição de materiais permanentes e equipamentos para atender as necessidades da UFAC.	Pregão - Registro de Preço	Evento de Retificação Publicad	26000	MINISTERIO DA EDUCACAO	26275	FUNDACAO UNIVERSIDADE FEDERAL DO ACRE	154044	FUNDACAO UNIVERSIDADE FEDERAL DO ACRE	RIO BRANCO	30/01/2018		0
40002018	2,30701046162018E+016	Objeto: Despesa Com Energia Elétrica Para Regional Jataí/UFG No Exercício De 2018.	Dispensa de Licitação	Publicado	26000	MINISTERIO DA EDUCACAO	26235	UNIVERSIDADE FEDERAL DE GOIAS	153052	UNIVERSIDADE FEDERAL DE GOIAS	GOIANIA	31/01/2018		1800000
