"rules";"support";"confidence";"lift";"count"
"{21263301000188} => {55741110000104}";0.0100394406597347;0.777777777777778;24.3732833957553;28
"{55741110000104} => {21263301000188}";0.0100394406597347;0.314606741573034;24.3732833957553;28
"{21263301000188} => {07253912000114}";0.0118321979204016;0.916666666666667;26.356529209622;33
"{07253912000114} => {21263301000188}";0.0118321979204016;0.34020618556701;26.356529209622;33
"{08587102000167} => {55741110000104}";0.0100394406597347;0.848484848484849;26.5890364317331;28
"{55741110000104} => {08587102000167}";0.0100394406597347;0.314606741573034;26.5890364317331;28
"{08587102000167} => {07253912000114}";0.0111150950161348;0.939393939393939;27.0099968759763;31
"{07253912000114} => {08587102000167}";0.0111150950161348;0.319587628865979;27.0099968759763;31
"{02282245000184} => {05897975000188}";0.0114736464682682;0.941176470588235;77.2041522491349;32
"{05897975000188} => {02282245000184}";0.0114736464682682;0.941176470588235;77.2041522491349;32
"{71443667000107} => {01151850000153}";0.0125493008246683;0.583333333333333;30.6965408805031;35
"{01151850000153} => {71443667000107}";0.0125493008246683;0.660377358490566;30.6965408805031;35
"{71443667000107} => {12925007000101}";0.0136249551810685;0.633333333333333;32.1157575757576;38
"{12925007000101} => {71443667000107}";0.0136249551810685;0.690909090909091;32.1157575757576;38
"{71443667000107} => {55741110000104}";0.0143420580853352;0.666666666666667;20.8913857677903;40
"{55741110000104} => {71443667000107}";0.0143420580853352;0.449438202247191;20.8913857677903;40
"{71443667000107} => {07253912000114}";0.0168519182502689;0.783333333333333;22.522852233677;47
"{07253912000114} => {71443667000107}";0.0168519182502689;0.484536082474227;22.522852233677;47
"{01151850000153} => {22450022000196}";0.0100394406597347;0.528301886792453;28.8908620051794;28
"{22450022000196} => {01151850000153}";0.0100394406597347;0.549019607843137;28.8908620051794;28
"{01151850000153} => {12925007000101}";0.0118321979204016;0.622641509433962;31.5735849056604;33
"{12925007000101} => {01151850000153}";0.0118321979204016;0.6;31.5735849056604;33
"{01151850000153} => {55741110000104}";0.0132664037289351;0.69811320754717;21.876828492686;37
"{55741110000104} => {01151850000153}";0.0132664037289351;0.415730337078652;21.876828492686;37
"{01151850000153} => {07253912000114}";0.0139835066332019;0.735849056603774;21.1575568955456;39
"{07253912000114} => {01151850000153}";0.0139835066332019;0.402061855670103;21.1575568955456;39
"{22450022000196} => {12925007000101}";0.0100394406597347;0.549019607843137;27.8402852049911;28
"{12925007000101} => {22450022000196}";0.0100394406597347;0.509090909090909;27.8402852049911;28
"{22450022000196} => {55741110000104}";0.012190749372535;0.666666666666667;20.8913857677903;34
"{55741110000104} => {22450022000196}";0.012190749372535;0.382022471910112;20.8913857677903;34
"{22450022000196} => {07253912000114}";0.0129078522768017;0.705882352941177;20.2959369314736;36
"{07253912000114} => {22450022000196}";0.0129078522768017;0.371134020618557;20.2959369314736;36
"{08952743000173} => {00482840000138}";0.0100394406597347;0.411764705882353;14.7232277526395;28
"{00482840000138} => {08952743000173}";0.0100394406597347;0.358974358974359;14.7232277526395;28
"{08952743000173} => {13146946000102}";0.0139835066332019;0.573529411764706;14.1555179593961;39
"{13146946000102} => {08952743000173}";0.0139835066332019;0.345132743362832;14.1555179593961;39
"{10229307000112} => {10752963000103}";0.0103979921118681;0.878787878787879;18.4281157439052;29
"{00881764000133} => {10596399000179}";0.0103979921118681;0.783783783783784;8.47276346113555;29
"{12925007000101} => {55741110000104}";0.0139835066332019;0.709090909090909;22.2208375893769;39
"{55741110000104} => {12925007000101}";0.0139835066332019;0.438202247191011;22.2208375893769;39
"{12925007000101} => {07253912000114}";0.0147006095374686;0.745454545454545;21.4337394564199;41
"{07253912000114} => {12925007000101}";0.0147006095374686;0.422680412371134;21.4337394564199;41
"{12925007000101} => {13440815000133}";0.0100394406597347;0.509090909090909;21.5129476584022;28
"{13440815000133} => {12925007000101}";0.0100394406597347;0.424242424242424;21.5129476584022;28
"{20337346000197} => {07611027000160}";0.0100394406597347;0.571428571428571;37.063122923588;28
