rule;support;confidence;lift;count
{13440815000133} => {17930162000121};0.01047296;0.9942029;50.017111;343
{17930162000121} => {13440815000133};0.01047296;0.5268817;50.017111;343
{13758327000179} => {00761025000108};0.01108363;0.5680751;8.272578;363
{13338681000144} => {08658622000113};0.01627431;0.7341598;18.567156;533
{55741110000104} => {12349852000178};0.01667125;0.6114222;17.959361;546
{11978499000122} => {10971702000176};0.01960245;0.9861751;32.041886;642
{10971702000176} => {11978499000122};0.01960245;0.6369048;32.041886;642
{92690338000130} => {18543917000106};0.01083936;0.6800766;12.541210;355
{18988405000145} => {06177718000134};0.01038136;0.7572383;12.062408;340
{03213418000175} => {03983817000115};0.01151110;0.7631579;29.198813;377
{03213418000175} => {11098524000183};0.01044243;0.6923077;31.579066;342
{03213418000175} => {18543917000106};0.01010656;0.6700405;12.356135;331
{10807978000113} => {15724019000158};0.01126683;0.7817797;14.929484;369
{10807978000113} => {16403724000116};0.01047296;0.7266949;11.712591;343
{10807978000113} => {06177718000134};0.01141950;0.7923729;12.622084;374
{19142596000192} => {03983817000115};0.01145003;0.6970260;26.668574;375
{19142596000192} => {11098524000183};0.01230497;0.7490706;34.168262;403
{11098524000183} => {19142596000192};0.01230497;0.5612813;34.168262;403
{19142596000192} => {18543917000106};0.01224390;0.7453532;13.744967;401
{17930162000121} => {03983817000115};0.01093096;0.5499232;21.040344;358
{17930162000121} => {12349852000178};0.01395377;0.7019969;20.619822;457
{15022662000130} => {10636507000190};0.01141950;0.9973333;81.659160;374
{10636507000190} => {15022662000130};0.01141950;0.9350000;81.659160;374
{03961467000196} => {06957510000138};0.01438124;0.9936709;68.657627;471
{06957510000138} => {03961467000196};0.01438124;0.9936709;68.657627;471
{06022999000156} => {03983817000115};0.01053403;0.6106195;23.362615;345
{06022999000156} => {11098524000183};0.01157217;0.6707965;30.597848;379
{11098524000183} => {06022999000156};0.01157217;0.5278552;30.597848;379
{06022999000156} => {18543917000106};0.01230497;0.7132743;13.153405;403
{11036658000170} => {03983817000115};0.01080883;0.6820809;26.096767;354
{11036658000170} => {11098524000183};0.01184697;0.7475915;34.100794;388
{11098524000183} => {11036658000170};0.01184697;0.5403900;34.100794;388
{11036658000170} => {18543917000106};0.01138897;0.7186898;13.253271;373
{05530834000122} => {18543917000106};0.01068670;0.6003431;11.070853;350
{10752963000103} => {16403724000116};0.01239657;0.5087719;8.200192;406
{10752963000103} => {00761025000108};0.01322097;0.5426065;7.901692;433
{12134879000143} => {67718783000114};0.01032030;0.5777778;28.498193;338
{67718783000114} => {12134879000143};0.01032030;0.5090361;28.498193;338
{06268094000160} => {15724019000158};0.01148057;0.5046980;9.638113;376
{05364996000138} => {10749045000117};0.01010656;0.5638842;12.887488;331
{05364996000138} => {18543917000106};0.01334310;0.7444634;13.728559;437
{07586061000121} => {11333352000185};0.01847272;1.0000000;54.133884;605
{11333352000185} => {07586061000121};0.01847272;1.0000000;54.133884;605
{05488204000137} => {16403724000116};0.01065616;0.6155203;9.920721;349
{05488204000137} => {06177718000134};0.01007603;0.5820106;9.271123;330
{11098524000183} => {03983817000115};0.01282404;0.5849582;22.380802;420
{03983817000115} => {18543917000106};0.01544991;0.5911215;10.900800;506
{11098524000183} => {18543917000106};0.01621325;0.7395543;13.638031;531
{18166571000166} => {10942831000136};0.01105310;0.5924714;15.737250;362
{04567265000127} => {04762679000107};0.01096150;0.5514593;24.808851;359
{04567265000127} => {15724019000158};0.01328204;0.6682028;12.760530;435
{04567265000127} => {16403724000116};0.01300724;0.6543779;10.547013;426
{04567265000127} => {06177718000134};0.01398431;0.7035330;11.206912;458
{10434081000191} => {15724019000158};0.01227443;0.5095057;9.729925;402
{10434081000191} => {06177718000134};0.01312937;0.5449937;8.681463;430
{18912500000165} => {92823764000103};0.01178590;0.5302198;14.854772;386
{79053468000102} => {04762679000107};0.01080883;0.5437788;24.463324;354
{79053468000102} => {10278886000193};0.01056456;0.5314900;16.883443;346
{79053468000102} => {15724019000158};0.01303777;0.6559140;12.525853;427
{79053468000102} => {16403724000116};0.01239657;0.6236559;10.051848;406
{79053468000102} => {06177718000134};0.01380111;0.6943164;11.060096;452
{79053468000102} => {00761025000108};0.01050350;0.5284178;7.695070;344
{10986234000103} => {15724019000158};0.01496138;0.6824513;13.032630;490
{10986234000103} => {16403724000116};0.01480871;0.6754875;10.887249;485
{10986234000103} => {06177718000134};0.01642698;0.7493036;11.936013;538
{04762679000107} => {15724019000158};0.01511404;0.6799451;12.984770;495
{04762679000107} => {16403724000116};0.01444231;0.6497253;10.472024;473
{04762679000107} => {06177718000134};0.01664071;0.7486264;11.925225;545
{08459500000106} => {16403724000116};0.01444231;0.6409214;10.330127;473
{08459500000106} => {06177718000134};0.01413697;0.6273713;9.993695;463
{11094173000132} => {16403724000116};0.01151110;0.5643713;9.096320;377
{11094173000132} => {06177718000134};0.01184697;0.5808383;9.252449;388
{12068781000135} => {18543917000106};0.01728192;0.5740365;10.585737;566
{14676091000194} => {09058708000178};0.01868645;0.5387324;7.204583;612
{12957821000108} => {18543917000106};0.02103753;0.5534137;10.205434;689
{10278886000193} => {15724019000158};0.01795365;0.5703201;10.891284;588
{10278886000193} => {16403724000116};0.02085433;0.6624636;10.677336;683
{10278886000193} => {06177718000134};0.02241153;0.7119302;11.340674;734
{05207424000145} => {06177718000134};0.01911392;0.5032154;8.015958;626
{15567891000130} => {09058708000178};0.02589234;0.5582620;7.465757;848
{15724019000158} => {16403724000116};0.03199902;0.6110787;9.849133;1048
{16403724000116} => {15724019000158};0.03199902;0.5157480;9.849133;1048
{15724019000158} => {06177718000134};0.03486916;0.6658892;10.607265;1142
{06177718000134} => {15724019000158};0.03486916;0.5554475;10.607265;1142
{16403724000116} => {06177718000134};0.04250252;0.6850394;10.912317;1392
{06177718000134} => {16403724000116};0.04250252;0.6770428;10.912317;1392
{11098524000183, 19142596000192} => {18543917000106};0.01022870;0.8312655;15.329266;335
{18543917000106, 19142596000192} => {11098524000183};0.01022870;0.8354115;38.106631;335
{11098524000183, 18543917000106} => {19142596000192};0.01022870;0.6308851;38.405425;335
{03983817000115, 11098524000183} => {18543917000106};0.01007603;0.7857143;14.489262;330
{03983817000115, 18543917000106} => {11098524000183};0.01007603;0.6521739;29.748395;330
{11098524000183, 18543917000106} => {03983817000115};0.01007603;0.6214689;23.777721;330
{04567265000127, 15724019000158} => {06177718000134};0.01038136;0.7816092;12.450624;340
{04567265000127, 06177718000134} => {15724019000158};0.01038136;0.7423581;14.176659;340
{04567265000127, 16403724000116} => {06177718000134};0.01090043;0.8380282;13.349349;357
{04567265000127, 06177718000134} => {16403724000116};0.01090043;0.7794760;12.563296;357
{15724019000158, 79053468000102} => {06177718000134};0.01032030;0.7915691;12.609280;338
{06177718000134, 79053468000102} => {15724019000158};0.01032030;0.7477876;14.280345;338
{16403724000116, 79053468000102} => {06177718000134};0.01062563;0.8571429;13.653835;348
{06177718000134, 79053468000102} => {16403724000116};0.01062563;0.7699115;12.409140;348
{10986234000103, 15724019000158} => {16403724000116};0.01102256;0.7367347;11.874408;361
{10986234000103, 16403724000116} => {15724019000158};0.01102256;0.7443299;14.214314;361
{10986234000103, 15724019000158} => {06177718000134};0.01233550;0.8244898;13.133689;404
{06177718000134, 10986234000103} => {15724019000158};0.01233550;0.7509294;14.340343;404
{10986234000103, 16403724000116} => {06177718000134};0.01233550;0.8329897;13.269088;404
{06177718000134, 10986234000103} => {16403724000116};0.01233550;0.7509294;12.103193;404
{04762679000107, 15724019000158} => {16403724000116};0.01093096;0.7232323;11.656782;358
{04762679000107, 16403724000116} => {15724019000158};0.01093096;0.7568710;14.453810;358
{04762679000107, 15724019000158} => {06177718000134};0.01242710;0.8222222;13.097568;407
{04762679000107, 06177718000134} => {15724019000158};0.01242710;0.7467890;14.261275;407
{04762679000107, 16403724000116} => {06177718000134};0.01224390;0.8477801;13.504692;401
{04762679000107, 06177718000134} => {16403724000116};0.01224390;0.7357798;11.859018;401
{08459500000106, 16403724000116} => {06177718000134};0.01141950;0.7906977;12.595399;374
{06177718000134, 08459500000106} => {16403724000116};0.01141950;0.8077754;13.019415;374
{10828286000151, 16403724000116} => {06177718000134};0.01193857;0.6969697;11.102361;391
{06177718000134, 10828286000151} => {16403724000116};0.01193857;0.7804391;12.578820;391
{10278886000193, 15724019000158} => {16403724000116};0.01355684;0.7551020;12.170446;444
{10278886000193, 16403724000116} => {15724019000158};0.01355684;0.6500732;12.414313;444
{10278886000193, 15724019000158} => {06177718000134};0.01483924;0.8265306;13.166198;486
{06177718000134, 10278886000193} => {15724019000158};0.01483924;0.6621253;12.644471;486
{10278886000193, 16403724000116} => {06177718000134};0.01706818;0.8184480;13.037447;559
{06177718000134, 10278886000193} => {16403724000116};0.01706818;0.7615804;12.274862;559
{00761025000108, 10278886000193} => {06177718000134};0.01056456;0.7775281;12.385614;346
{05207424000145, 15724019000158} => {06177718000134};0.01102256;0.7106299;11.319961;361
{05207424000145, 06177718000134} => {15724019000158};0.01102256;0.5766773;11.012687;361
{05207424000145, 16403724000116} => {06177718000134};0.01319044;0.8014842;12.767223;432
{05207424000145, 06177718000134} => {16403724000116};0.01319044;0.6900958;11.122701;432
{15724019000158, 16403724000116} => {06177718000134};0.02564807;0.8015267;12.767900;840
{06177718000134, 15724019000158} => {16403724000116};0.02564807;0.7355517;11.855341;840
{06177718000134, 16403724000116} => {15724019000158};0.02564807;0.6034483;11.523927;840
{00761025000108, 15724019000158} => {16403724000116};0.01334310;0.6892744;11.109462;437
{00761025000108, 16403724000116} => {15724019000158};0.01334310;0.5772787;11.024172;437
{00761025000108, 15724019000158} => {06177718000134};0.01468657;0.7586751;12.085295;481
{00761025000108, 06177718000134} => {15724019000158};0.01468657;0.6166667;11.776356;481
{09058708000178, 16403724000116} => {06177718000134};0.01175537;0.6949458;11.070122;385
{06177718000134, 09058708000178} => {16403724000116};0.01175537;0.7291667;11.752430;385
{00761025000108, 16403724000116} => {06177718000134};0.01697658;0.7344782;11.699852;556
{00761025000108, 06177718000134} => {16403724000116};0.01697658;0.7128205;11.488969;556
{10278886000193, 15724019000158, 16403724000116} => {06177718000134};0.01187750;0.8761261;13.956229;389
{06177718000134, 10278886000193, 15724019000158} => {16403724000116};0.01187750;0.8004115;12.900727;389
{06177718000134, 10278886000193, 16403724000116} => {15724019000158};0.01187750;0.6958855;13.289182;389
{00761025000108, 15724019000158, 16403724000116} => {06177718000134};0.01114470;0.8352403;13.304939;365
{00761025000108, 06177718000134, 15724019000158} => {16403724000116};0.01114470;0.7588358;12.230625;365
{00761025000108, 06177718000134, 16403724000116} => {15724019000158};0.01114470;0.6564748;12.536564;365
