rules;support;confidence;lift;count
{12946183000111} => {30223033000161};0,01096552;0,8613139;4,2458079;118
{19416252000124} => {30223033000161};0,01208066;0,8552632;4,2159811;130
{16785419000136} => {30223033000161};0,01263823;0,8343558;4,1129194;136
{11407453000153} => {30223033000161};0,01022210;0,8661417;4,2696066;110
{29213278000129} => {30223033000161};0,01403215;0,8118280;4,0018693;151
{32319078000160} => {30223033000161};0,01022210;0,9734513;4,7985844;110
{12488070000110} => {30223033000161};0,01059381;0,8444444;4,1626508;114
{15050089000178} => {30223033000161};0,01012917;0,9159664;4,5152150;109
{23534848000104} => {30223033000161};0,01235945;0,9236111;4,5528993;133
{26370027000160} => {30223033000161};0,01245237;0,9640288;4,7521364;134
{11277643000101} => {28089897000190};0,01012917;0,7465753;13,6630906;109
{28089897000190} => {11277643000101};0,01012917;0,1853741;13,6630906;109
{11277643000101} => {30223033000161};0,01152309;0,8493151;4,1866603;124
{12326374000180} => {30223033000161};0,01282409;0,8846154;4,3606716;138
{4695665000118} => {30223033000161};0,01208066;0,9027778;4,4502023;130
{31809158000130} => {30223033000161};0,01393922;0,9036145;4,4543267;150
{15130732000173} => {30223033000161};0,01561193;0,9600000;4,7322767;168
{27030815000170} => {30223033000161};0,01031503;0,6851852;3,3775895;111
{22891456000121} => {30223033000161};0,01923613;0,9078947;4,4754261;207
{11807975000142} => {30223033000161};0,01273116;0,8058824;3,9725607;137
{17881571000185} => {30223033000161};0,01235945;0,7000000;3,4506184;133
{7383072000104} => {30223033000161};0,02035127;0,9647577;4,7557296;219
{30223033000161} => {7383072000104};0,02035127;0,1003207;4,7557296;219
{5965179000135} => {30223033000161};0,01003624;0,7397260;3,6464461;108
{8757632000106} => {30223033000161};0,01505436;0,8140704;4,0129231;162
{19414808000143} => {30223033000161};0,01774928;0,7892562;3,8906028;191
{31791509000123} => {30223033000161};0,01403215;0,8483146;4,1817286;151
{10733208000173} => {30223033000161};0,01626243;0,9259259;4,5643101;175
{27520617000194} => {30223033000161};0,01765635;0,9004739;4,4388456;190
{9035549000196} => {30223033000161};0,01449679;0,7393365;3,6445259;156
{8676370000155} => {23312871000146};0,01040795;0,5544554;32,4266035;112
{23312871000146} => {8676370000155};0,01040795;0,6086957;32,4266035;112
{24136684000111} => {23288594000183};0,01208066;0,4276316;12,9262456;130
{23288594000183} => {24136684000111};0,01208066;0,3651685;12,9262456;130
{24136684000111} => {26889274000177};0,01040795;0,3684211;5,4309301;112
{26889274000177} => {24136684000111};0,01040795;0,1534247;5,4309301;112
{24136684000111} => {30223033000161};0,02601989;0,9210526;4,5402874;280
{30223033000161} => {24136684000111};0,02601989;0,1282639;4,5402874;280
{21750520000191} => {482840000138};0,01217359;0,7005348;25,1281818;131
{482840000138} => {21750520000191};0,01217359;0,4366667;25,1281818;131
{19892558000157} => {30223033000161};0,02267447;0,8591549;4,2351655;244
{30223033000161} => {19892558000157};0,02267447;0,1117728;4,2351655;244
{4896000000172} => {30223033000161};0,01812099;0,8158996;4,0219402;195
{5207424000145} => {30223033000161};0,01291702;0,7315789;3,6062854;139
{31267938000104} => {30223033000161};0,02434718;0,8704319;4,2907547;262
{30223033000161} => {31267938000104};0,02434718;0,1200183;4,2907547;262
{29136844000146} => {14272952000179};0,01096552;1,0000000;89,6750000;118
{14272952000179} => {29136844000146};0,01096552;0,9833333;89,6750000;118
{25235133000178} => {30223033000161};0,01561193;0,8000000;3,9435639;168
{30366407000106} => {30223033000161};0,02044420;0,7942238;3,9150905;220
{30223033000161} => {30366407000106};0,02044420;0,1007787;3,9150905;220
{23288594000183} => {26889274000177};0,01208066;0,3651685;5,3829845;130
{26889274000177} => {23288594000183};0,01208066;0,1780822;5,3829845;130
{23288594000183} => {30223033000161};0,03057337;0,9241573;4,5555917;329
{30223033000161} => {23288594000183};0,03057337;0,1507100;4,5555917;329
{9538374000130} => {28089897000190};0,01133724;0,3910256;7,1561682;122
{28089897000190} => {9538374000130};0,01133724;0,2074830;7,1561682;122
{9538374000130} => {26889274000177};0,01328873;0,4583333;6,7563356;143
{26889274000177} => {9538374000130};0,01328873;0,1958904;6,7563356;143
{9538374000130} => {30223033000161};0,02592696;0,8942308;4,4080702;279
{30223033000161} => {9538374000130};0,02592696;0,1278058;4,4080702;279
{16103634000100} => {30359598000170};0,01133724;0,4552239;12,8573863;122
{30359598000170} => {16103634000100};0,01133724;0,3202100;12,8573863;122
{16103634000100} => {30223033000161};0,02202398;0,8843284;4,3592567;237
{30223033000161} => {16103634000100};0,02202398;0,1085662;4,3592567;237
{24005316000134} => {30223033000161};0,01291702;0,6069869;2,9921145;139
{26148145000128} => {30223033000161};0,02815723;0,9071856;4,4719306;303
{30223033000161} => {26148145000128};0,02815723;0,1387998;4,4719306;303
{12464710000151} => {26889274000177};0,01328873;0,3983287;5,8718014;143
{26889274000177} => {12464710000151};0,01328873;0,1958904;5,8718014;143
{12464710000151} => {30223033000161};0,03159558;0,9470752;4,6685645;340
{30223033000161} => {12464710000151};0,03159558;0,1557490;4,6685645;340
{20204978000182} => {26889274000177};0,01208066;0,3073286;4,5303604;130
{26889274000177} => {20204978000182};0,01208066;0,1780822;4,5303604;130
{20204978000182} => {30223033000161};0,03206022;0,8156028;4,0204774;345
{30223033000161} => {20204978000182};0,03206022;0,1580394;4,0204774;345
{26962292000137} => {30223033000161};0,01031503;0,5138889;2,5331921;111
{32314972000147} => {30223033000161};0,01403215;0,6371308;3,1407075;151
{18596838000155} => {28089897000190};0,01077967;0,2742317;5,0187195;116
{28089897000190} => {18596838000155};0,01077967;0,1972789;5,0187195;116
{18596838000155} => {26889274000177};0,01208066;0,3073286;4,5303604;130
{26889274000177} => {18596838000155};0,01208066;0,1780822;4,5303604;130
{18596838000155} => {30223033000161};0,03233900;0,8226950;4,0554381;348
{30223033000161} => {18596838000155};0,03233900;0,1594137;4,0554381;348
{1424128000145} => {11163447000106};0,01505436;0,9418605;48,2636213;162
{11163447000106} => {1424128000145};0,01505436;0,7714286;48,2636213;162
{26536443000195} => {30359598000170};0,01077967;0,2636364;7,4461704;116
{30359598000170} => {26536443000195};0,01077967;0,3044619;7,4461704;116
{26536443000195} => {28089897000190};0,01105845;0,2704545;4,9495942;119
{28089897000190} => {26536443000195};0,01105845;0,2023810;4,9495942;119
{26536443000195} => {26889274000177};0,01431094;0,3500000;5,1593836;154
{26889274000177} => {26536443000195};0,01431094;0,2109589;5,1593836;154
{26536443000195} => {30223033000161};0,03772884;0,9227273;4,5485425;406
{30223033000161} => {26536443000195};0,03772884;0,1859826;4,5485425;406
{29926189000120} => {30223033000161};0,01133724;0,4841270;2,3864821;122
{30359598000170} => {28089897000190};0,01031503;0,2913386;5,3317933;111
{28089897000190} => {30359598000170};0,01031503;0,1887755;5,3317933;111
{30359598000170} => {26889274000177};0,01338166;0,3779528;5,5714378;144
{26889274000177} => {30359598000170};0,01338166;0,1972603;5,5714378;144
{30359598000170} => {30223033000161};0,03094508;0,8740157;4,3084212;333
{30223033000161} => {30359598000170};0,03094508;0,1525424;4,3084212;333
{30814518000120} => {28089897000190};0,01375337;0,3325843;6,0866315;148
{28089897000190} => {30814518000120};0,01375337;0,2517007;6,0866315;148
{30814518000120} => {26889274000177};0,01496143;0,3617978;5,3332954;161
{26889274000177} => {30814518000120};0,01496143;0,2205479;5,3332954;161
{30814518000120} => {30223033000161};0,03438342;0,8314607;4,0986479;370
{30223033000161} => {30814518000120};0,03438342;0,1694915;4,0986479;370
{29843035000174} => {20483193000196};0,01300994;0,6250000;9,7331766;140
{20483193000196} => {29843035000174};0,01300994;0,2026049;9,7331766;140
{17473920000120} => {20483193000196};0,01217359;0,6787565;10,5703306;131
{20483193000196} => {17473920000120};0,01217359;0,1895803;10,5703306;131
{28089897000190} => {26889274000177};0,01923613;0,3520408;5,1894674;207
{26889274000177} => {28089897000190};0,01923613;0,2835616;5,1894674;207
{28089897000190} => {30223033000161};0,04906607;0,8979592;4,4264493;528
{30223033000161} => {28089897000190};0,04906607;0,2418690;4,4264493;528
{15153524000190} => {3217016000149};0,01087260;0,4398496;12,4887119;117
{3217016000149} => {15153524000190};0,01087260;0,3087071;12,4887119;117
{15153524000190} => {20483193000196};0,01115138;0,4511278;7,0254507;120
{20483193000196} => {15153524000190};0,01115138;0,1736614;7,0254507;120
{27210985000136} => {20483193000196};0,01273116;0,5000000;7,7865412;137
{20483193000196} => {27210985000136};0,01273116;0,1982634;7,7865412;137
{26889274000177} => {30223033000161};0,06068209;0,8945205;4,4094987;653
{30223033000161} => {26889274000177};0,06068209;0,2991296;4,4094987;653
{27184259000196} => {14517117000151};0,01096552;0,3868852;9,3138079;118
{14517117000151} => {27184259000196};0,01096552;0,2639821;9,3138079;118
{11464383000175} => {14517117000151};0,01115138;0,2696629;6,4918181;120
{14517117000151} => {11464383000175};0,01115138;0,2684564;6,4918181;120
