rule;support;confidence;lift;count
{37594793000124} => {07832586000108};0.01079792;0.7889908;31.03169;172
{00448994000103} => {07832586000108};0.01180237;0.8245614;32.43071;188
{04613668000165} => {35636034000151};0.01092347;0.7250000;46.56663;174
{35636034000151} => {04613668000165};0.01092347;0.7016129;46.56663;174
{04613668000165} => {05120923000109};0.01117459;0.7416667;39.11923;178
{05120923000109} => {04613668000165};0.01117459;0.5894040;39.11923;178
{04613668000165} => {07832586000108};0.01255572;0.8333333;32.77572;200
{35636034000151} => {05120923000109};0.01217904;0.7822581;41.26023;194
{05120923000109} => {35636034000151};0.01217904;0.6423841;41.26023;194
{35636034000151} => {07832586000108};0.01305794;0.8387097;32.98718;208
{07832586000108} => {35636034000151};0.01305794;0.5135802;32.98718;208
{06064175000149} => {05120923000109};0.01261849;0.7671756;40.46470;201
{05120923000109} => {06064175000149};0.01261849;0.6655629;40.46470;201
{06064175000149} => {07832586000108};0.01487852;0.9045802;35.57792;237
{07832586000108} => {06064175000149};0.01487852;0.5851852;35.57792;237
{05120923000109} => {07832586000108};0.01657355;0.8741722;34.38195;264
{07832586000108} => {05120923000109};0.01657355;0.6518519;34.38195;264
{11658951000179} => {05037539000139};0.01004457;0.9039548;77.41449;160
{05037539000139} => {11658951000179};0.01004457;0.8602151;77.41449;160
{00731434000161} => {10868000000161};0.01142570;0.5000000;16.02515;182
{00731434000161} => {04833107000171};0.01148848;0.5027473;13.61949;183
{09611589000139} => {00482840000138};0.01042124;0.5092025;15.53848;166
{05120923000109,35636034000151} => {07832586000108};0.01067236;0.8762887;34.46519;170
{07832586000108,35636034000151} => {05120923000109};0.01067236;0.8173077;43.10892;170
{05120923000109,07832586000108} => {35636034000151};0.01067236;0.6439394;41.36012;170
{05120923000109,06064175000149} => {07832586000108};0.01148848;0.9104478;35.80870;183
{06064175000149,07832586000108} => {05120923000109};0.01148848;0.7721519;40.72718;183
{05120923000109,07832586000108} => {06064175000149};0.01148848;0.6931818;42.14387;183
{13440815000133} => {17930162000121};0.01047296;0.9942029;50.017111;343
{17930162000121} => {13440815000133};0.01047296;0.5268817;50.017111;343
{13758327000179} => {00761025000108};0.01108363;0.5680751;8.272578;363
{13338681000144} => {08658622000113};0.01627431;0.7341598;18.567156;533
{55741110000104} => {12349852000178};0.01667125;0.6114222;17.959361;546
{11978499000122} => {10971702000176};0.01960245;0.9861751;32.041886;642
{10971702000176} => {11978499000122};0.01960245;0.6369048;32.041886;642
{92690338000130} => {18543917000106};0.01083936;0.6800766;12.541210;355
{18988405000145} => {06177718000134};0.01038136;0.7572383;12.062408;340
{03213418000175} => {03983817000115};0.01151110;0.7631579;29.198813;377
{03213418000175} => {11098524000183};0.01044243;0.6923077;31.579066;342
{03213418000175} => {18543917000106};0.01010656;0.6700405;12.356135;331
{10807978000113} => {15724019000158};0.01126683;0.7817797;14.929484;369
{10807978000113} => {16403724000116};0.01047296;0.7266949;11.712591;343
{10807978000113} => {06177718000134};0.01141950;0.7923729;12.622084;374
{19142596000192} => {03983817000115};0.01145003;0.6970260;26.668574;375
{19142596000192} => {11098524000183};0.01230497;0.7490706;34.168262;403
{11098524000183} => {19142596000192};0.01230497;0.5612813;34.168262;403
{19142596000192} => {18543917000106};0.01224390;0.7453532;13.744967;401
{17930162000121} => {03983817000115};0.01093096;0.5499232;21.040344;358
{17930162000121} => {12349852000178};0.01395377;0.7019969;20.619822;457
{15022662000130} => {10636507000190};0.01141950;0.9973333;81.659160;374
{10636507000190} => {15022662000130};0.01141950;0.9350000;81.659160;374
{03961467000196} => {06957510000138};0.01438124;0.9936709;68.657627;471
{06957510000138} => {03961467000196};0.01438124;0.9936709;68.657627;471
{06022999000156} => {03983817000115};0.01053403;0.6106195;23.362615;345
{06022999000156} => {11098524000183};0.01157217;0.6707965;30.597848;379
{11098524000183} => {06022999000156};0.01157217;0.5278552;30.597848;379
{06022999000156} => {18543917000106};0.01230497;0.7132743;13.153405;403
{11036658000170} => {03983817000115};0.01080883;0.6820809;26.096767;354
{11036658000170} => {11098524000183};0.01184697;0.7475915;34.100794;388
{11098524000183} => {11036658000170};0.01184697;0.5403900;34.100794;388
{11036658000170} => {18543917000106};0.01138897;0.7186898;13.253271;373
{05530834000122} => {18543917000106};0.01068670;0.6003431;11.070853;350
{10752963000103} => {16403724000116};0.01239657;0.5087719;8.200192;406
{10752963000103} => {00761025000108};0.01322097;0.5426065;7.901692;433
{12134879000143} => {67718783000114};0.01032030;0.5777778;28.498193;338
{67718783000114} => {12134879000143};0.01032030;0.5090361;28.498193;338
{06268094000160} => {15724019000158};0.01148057;0.5046980;9.638113;376
{05364996000138} => {10749045000117};0.01010656;0.5638842;12.887488;331
{05364996000138} => {18543917000106};0.01334310;0.7444634;13.728559;437
{07586061000121} => {11333352000185};0.01847272;1.0000000;54.133884;605
{11333352000185} => {07586061000121};0.01847272;1.0000000;54.133884;605
{05488204000137} => {16403724000116};0.01065616;0.6155203;9.920721;349
{05488204000137} => {06177718000134};0.01007603;0.5820106;9.271123;330
{11098524000183} => {03983817000115};0.01282404;0.5849582;22.380802;420
{03983817000115} => {18543917000106};0.01544991;0.5911215;10.900800;506
{11098524000183} => {18543917000106};0.01621325;0.7395543;13.638031;531
{18166571000166} => {10942831000136};0.01105310;0.5924714;15.737250;362
